id,price,num_subscribers,avg_rating,num_reviews,num_comments,num_lectures,content_length_min,category,subcategory,language
48424,19.99,7521,3.95,121,41,32,104,Personal Development,Career Development,English
48700,119.9,938,4.2,209,61,48,168,Business,Sales,Portuguese
48500,19.99,2866,3.55,113,45,96,460,Marketing,Social Media Marketing,English
48456,0,81961,3.95,198,53,103,733,Development,Mobile Development,English
48631,49.99,1716,4.8,323,56,41,296,Development,Programming Languages,English
48699,39.99,142,4.45,17,6,38,164,Office Productivity,Microsoft,Arabic
49068,94.99,6685,4.544872,822,117,59,,Office Productivity,SAP,English
48733,19.99,120,4.6666665,6,3,26,,Business,Operations,English
49244,19.99,192,3.375,8,2,12,311,Health & Fitness,Nutrition & Diet,Spanish
48841,34.99,87480,4.53157,12070,2902,16,101,Finance & Accounting,Accounting & Bookkeeping,English
